objectid,year,state,agency,fire_name,alarm_date,containment_date,cause,collection_method,management_objective,gis_calculated_acres,decades,shape__area,shape__length
70,2025,CA,CDF,LIDIA,2025-01-08,2025-01-11,14,7,1.0,347.7042,2020-2025,2073567.0,11177.24654
71,2025,CA,CDF,REEF,2025-04-26,2025-04-26,11,3,1.0,336.357,2020-2025,2074349.891,7496.749638
73,2025,CA,CDF,IDRIA,2025-05-17,2025-05-18,9,3,1.0,310.3296,2020-2025,1949441.547,7846.161235
74,2025,CA,USF,BUMMER,2025-10-29,2025-11-06,1,1,1.0,294.2364,2020-2025,1936707.461,8460.384502
75,2025,CA,CDF,2-3,2025-09-02,2025-09-09,1,3,1.0,285.2508,2020-2025,1859470.684,8374.833706
76,2025,CA,LRA,LOST HILLS,2025-08-23,2025-08-23,14,1,1.0,277.9433,2020-2025,1707593.383,6252.440919
77,2025,CA,CDF,DINO,2025-06-11,2025-06-11,2,2,1.0,266.039,2020-2025,1694351.02,7023.732331
78,2025,CA,CDF,MEDICINE,2025-07-27,2025-08-03,4,1,1.0,262.8339,2020-2025,1805953.773,6682.473208
79,2025,CA,CDF,MIDWAY,2025-05-22,2025-05-22,11,4,1.0,261.463,2020-2025,2065589.98,12568.88571
80,2025,CA,CDF,1-4 PEAK,2025-07-31,2025-08-03,7,2,1.0,259.6483,2020-2025,1816151.301,6995.2424
81,2025,CA,CDF,HENDERSON,2025-05-31,2025-06-02,14,3,1.0,255.4313,2020-2025,1486538.57,7599.449567
82,2025,CA,USF,SAGE,2025-10-27,2025-11-13,1,6,1.0,254.1042,2020-2025,1650226.754,5239.384835
83,2025,CA,CDF,HEATHER,2025-08-14,2025-08-14,2,5,1.0,228.574,2020-2025,1672614.57,8973.82791
84,2025,CA,NPS,EUREKA,2025-05-30,2025-06-09,14,8,1.0,213.8287,2020-2025,1264134.945,9973.101076
85,2025,CA,CDF,BONEYARD 2,2025-07-26,2025-07-27,10,3,1.0,202.3712,2020-2025,1312950.707,8723.444447
86,2025,CA,CDF,BONANZA,2025-06-17,2025-06-18,2,3,1.0,181.2267,2020-2025,1204439.973,8080.108405
87,2025,CA,LRA,CATLETT,2025-05-10,2025-05-10,14,2,1.0,176.425,2020-2025,1179044.457,6425.518095
88,2025,CA,CCO,GRANITE,2025-06-24,2025-06-24,14,2,1.0,174.4417,2020-2025,1067942.148,4585.112947
89,2025,CA,CDF,HORNITOS 1-2,2025-09-02,2025-09-03,1,1,1.0,166.9535,2020-2025,1076275.082,5765.251293
90,2025,CA,CDF,BROWN,2025-09-02,2025-09-07,1,1,1.0,166.7195,2020-2025,1101991.137,5521.462803
91,2025,CA,LRA,WILDWOOD,2025-08-09,2025-08-10,14,1,1.0,158.709,2020-2025,976899.875,4617.970934
